4,95.709,94.996,95.631,95.230
5,95.740,95.108,95.229,95.517
1,95.573,93.046,95.477,93.190
2,93.817,92.627,93.213,93.161
3,93.618,92.529,93.126,93.280
4,93.453,92.063,93.295,92.217
5,93.382,91.587,92.217,92.872
1,93.903,92.564,92.831,92.806
2,93.058,91.928,92.796,92.111
3,93.026,92.071,92.135,92.751
4,92.876,91.159,92.751,91.401
5,91.850,88.580,91.429,91.117
1,91.350,90.252,91.313,90.641
2,90.731,88.629,90.636,89.046
3,89.211,87.093,89.025,87.224
4,90.020,87.172,87.219,89.435
5,89.811,88.416,89.440,89.298
1,90.471,89.094,89.101,90.248
2,90.969,89.897,90.219,90.960
3,90.968,90.225,90.952,90.385
5,90.768,90.353,90.432,90.756
1,90.734,89.753,90.690,90.664
2,90.966,90.012,90.662,90.327
3,90.923,90.116,90.327,90.703
5,92.406,90.653,90.694,91.813
1,93.584,91.792,91.891,93.349
2,94.625,92.836,93.364,93.624
3,94.139,92.331,93.659,92.647
4,92.915,90.844,92.637,91.186
5,91.650,90.148,91.181,90.376
1,90.258,88.881,90.108,89.212
2,89.875,88.782,89.190,89.363
3,89.958,88.598,89.358,89.037
4,90.018,88.468,89.042,89.838
5,90.914,89.728,89.794,90.722
1,91.288,90.148,90.946,90.628
2,90.967,89.679,90.617,89.728
3,90.155,87.109,89.748,89.467
4,89.544,88.060,89.447,88.893
5,89.619,87.986,88.873,88.728
1,89.684,88.243,88.706,89.078
2,90.060,88.424,89.075,88.955
3,90.761,88.888,88.975,90.315
4,90.655,89.468,90.210,89.993
5,90.142,89.146,90.006,89.974
1,89.991,88.806,89.986,89.436
2,89.970,88.586,89.421,89.418
3,89.781,88.819,89.422,89.417
4,92.247,89.216,89.405,91.210
5,92.216,90.733,91.155,91.886
1,92.418,90.893,91.759,91.452
2,91.654,90.124,91.447,90.465
3,90.753,89.690,90.450,90.381
4,91.108,89.810,90.390,90.925
5,92.134,90.530,90.933,91.919
1,92.071,91.420,91.707,91.736
2,92.744,91.557,91.711,92.397
3,93.963,92.083,92.405,93.777
4,94.458,93.298,93.772,94.183
5,94.381,92.509,94.175,93.326
1,94.950,92.759,93.326,94.602
2,96.927,94.257,94.591,96.634
3,97.781,96.340,96.635,97.385
4,98.723,97.312,97.390,98.505
5,98.605,96.854,98.497,97.571
1,97.906,96.911,97.720,97.433
2,98.587,96.991,97.440,98.144
3,99.407,98.131,98.136,99.148
4,99.677,97.714,99.128,98.066
5,98.502,96.574,98.046,98.268
1,99.184,97.894,98.320,98.842
2,99.131,97.898,98.851,98.649
3,98.845,97.052,98.659,97.267
4,98.511,95.654,97.235,97.705
5,98.654,97.131,97.691,97.995
1,98.643,97.551,98.080,98.168
2,98.968,98.058,98.170,98.589
3,98.840,95.657,98.555,96.207
4,96.605,93.529,96.211,94.532
5,96.260,94.146,94.474,95.928
1,97.338,95.413,95.605,96.932
2,98.561,96.911,96.935,97.852
3,98.351,96.911,97.916,97.521
4,98.851,97.433,97.498,98.695
5,98.854,97.099,98.691,97.854
1,98.319,95.952,98.067,97.243
2,99.362,97.220,97.243,98.956
3,99.458,98.201,98.914,98.504
4,99.898,98.385,98.499,99.513
5,100.371,99.344,99.498,100.309
1,101.443,100.139,100.194,100.972
2,101.094,99.850,100.954,100.414
3,100.864,99.311,100.409,99.754
4,100.562,99.633,99.754,100.410
5,100.721,100.199,100.420,100.203
1,100.720,99.855,100.331,100.088
2,100.426,98.737,100.086,98.984
3,99.656,98.149,98.968,99.366
4,99.511,98.532,99.379,99.263
5,99.749,98.706,99.225,99.137
1,99.406,97.655,99.195,97.910
2,98.908,97.720,97.907,98.726
3,98.739,97.550,98.704,97.999
4,98.437,97.626,97.988,97.949
5,98.139,96.634,97.949,97.142
1,97.108,96.426,96.783,96.748
2,96.760,95.618,96.728,96.442
3,97.969,96.371,96.428,97.631
4,98.986,97.139,97.600,98.623
5,99.573,98.517,98.631,99.124
1,99.565,98.720,99.260,98.781
2,99.210,98.606,98.789,98.803
3,99.072,97.931,98.840,98.304
4,99.746,98.258,98.293,99.101
5,99.557,98.329,99.102,98.460
1,98.828,97.257,98.630,97.473
2,97.838,96.105,97.478,96.441
3,96.698,95.136,96.427,95.295
4,95.856,95.113,95.320,95.778
5,96.183,94.730,95.802,95.215
1,96.456,94.543,94.836,96.305
2,96.695,95.909,96.286,95.957
3,96.219,94.685,95.962,94.876
4,95.265,93.967,94.914,94.407
5,94.911,93.837,94.406,94.769
1,95.203,94.422,94.621,94.816
2,95.139,94.502,94.819,95.018
3,95.499,94.650,94.978,95.328
4,97.232,95.211,95.353,96.849
5,97.002,95.016,96.836,95.297
1,96.800,94.446,95.130,96.615
2,96.646,95.327,96.536,95.760
3,96.411,95.373,95.759,95.980
4,96.967,95.854,95.980,96.561
