Date,Open,High,Low,Close,Volume,Adj Close
3/16/2015,206.710007,208.690002,205.860001,208.580002,136099200,205.578637
3/13/2015,206.770004,207.929993,204.580002,205.830002,162410900,202.868208
3/12/2015,205.259995,207.179993,205.199997,207.100006,93993500,204.119937
3/11/2015,205.289993,205.5,204.399994,204.5,110145700,201.557344
3/10/2015,206.710007,206.809998,204.929993,204.979996,157121300,202.030433
3/9/2015,207.740005,208.789993,207.550003,208.360001,89818900,205.361801
3/6/2015,209.419998,209.940002,207.100006,207.5,188128000,204.514176
3/5/2015,210.619995,210.800003,209.850006,210.460007,76873000,207.431589
3/4/2015,210.399994,210.490005,209.059998,210.229996,114497200,207.204888
3/3/2015,211.470001,212.050003,210.080002,211.119995,110325800,208.082081
3/2/2015,210.779999,212.059998,210.720001,211.990005,87491400,208.939572
2/27/2015,211.259995,211.580002,210.600006,210.660004,108076000,207.628708
2/26/2015,211.520004,211.710007,210.649994,211.380005,72697900,208.338349
2/25/2015,211.660004,212.240005,211.220001,211.630005,73061700,208.584752
2/24/2015,211.119995,212.050003,210.759995,211.809998,72472300,208.762154
2/23/2015,210.940002,211.210007,210.479996,211.210007,74411100,208.170797
2/20/2015,209.479996,211.330002,208.729996,211.240005,140896400,208.200364
2/19/2015,209.410004,210.419998,209.240005,209.979996,91462500,206.958485
2/18/2015,209.660004,210.220001,209.339996,210.130005,80652900,207.106336
2/17/2015,209.399994,210.320007,209.100006,210.110001,76968200,207.08662
2/13/2015,209.070007,209.839996,208.759995,209.779999,93670400,206.761366
2/12/2015,207.889999,208.990005,206.970001,208.919998,97545900,205.913741
2/11/2015,206.610001,207.449997,205.830002,206.929993,91087800,203.95237
2/10/2015,205.880005,207.119995,204.679993,206.809998,96164200,203.834102
2/9/2015,204.770004,205.639999,204.139999,204.630005,87219000,201.685478
2/6/2015,206.559998,207.240005,204.919998,205.550003,125672000,202.592238
2/5/2015,204.860001,206.300003,204.770004,206.119995,97953200,203.154028
2/4/2015,203.919998,205.380005,203.509995,204.059998,134306700,201.123673
2/3/2015,203,204.850006,202.550003,204.839996,124212900,201.892448
2/2/2015,200.050003,202.029999,197.860001,201.919998,163107000,199.014467
1/30/2015,200.570007,202.169998,199.130005,199.449997,197729700,196.580008
1/29/2015,200.380005,202.300003,198.679993,201.990005,173585400,199.083467
1/28/2015,204.169998,204.289993,199.910004,200.139999,168514300,197.260082
1/27/2015,202.970001,204.119995,201.740005,202.740005,134044600,199.822675
1/26/2015,204.710007,205.559998,203.850006,205.449997,92009700,202.493671
1/23/2015,205.789993,206.100006,204.809998,204.970001,117516800,202.020582
1/22/2015,203.990005,206.259995,202.330002,206.100006,174356000,203.134327
1/21/2015,201.5,203.660004,200.940002,203.080002,122942700,200.157779
1/20/2015,202.399994,202.720001,200.169998,202.059998,130991100,199.152452
1/16/2015,198.770004,201.820007,198.550003,201.630005,211879600,198.728647
1/15/2015,201.630005,202.009995,198.880005,199.020004,176613900,196.156203
1/14/2015,199.649994,201.100006,198.570007,200.860001,190552900,197.969723
1/13/2015,204.119995,205.479996,200.509995,202.080002,214553300,199.172169
1/12/2015,204.410004,204.600006,201.919998,202.649994,144396100,199.733959
1/9/2015,206.399994,206.419998,203.509995,204.25,158567300,201.310942
1/8/2015,204.009995,206.160004,203.990005,205.899994,147217800,202.937193
1/7/2015,201.419998,202.720001,200.880005,202.309998,125346700,199.398855
1/6/2015,202.089996,202.720001,198.860001,199.820007,209151400,196.944694
1/5/2015,204.169998,204.369995,201.350006,201.720001,169632600,198.817348
1/2/2015,206.380005,206.880005,204.179993,205.429993,121465900,202.473955
12/31/2014,207.990005,208.190002,205.389999,205.539993,130333800,202.582372
12/30/2014,208.210007,208.369995,207.509995,207.600006,73540800,204.612743
12/29/2014,208.220001,208.970001,208.139999,208.720001,79643900,205.716622
12/26/2014,208.309998,208.850006,208.25,208.440002,57326700,205.440652
12/24/2014,208.020004,208.339996,207.720001,207.770004,42963400,204.780295
12/23/2014,208.169998,208.229996,207.399994,207.75,122167900,204.760578
12/22/2014,206.75,207.470001,206.460007,207.470001,148318900,204.484609
12/19/2014,206.429993,207.330002,205.610001,206.520004,245084600,203.548282
12/18/2014,204.740005,212.970001,203.919998,206.779999,247780600,202.685864
12/17/2014,198.440002,202.339996,198.289993,201.789993,253754500,197.794658
12/16/2014,199.509995,202.399994,197.860001,197.910004,259543800,193.99149
12/15/2014,201.979996,202.529999,198.779999,199.509995,189965800,195.559802
